server,suite,command,conns,pipeline,datasize,rep,rps,p50_ms
redis,conc,PING,1,1,3,1,54406.96,0.015
redis,conc,PING,1,1,3,2,55865.92,0.015
redis,conc,PING,1,1,3,3,54406.96,0.015
redis,conc,PING,1,1,3,4,55679.29,0.015
redis,conc,PING,1,1,3,5,55309.73,0.015
redis,conc,PING,10,1,3,1,198412.69,0.031
redis,conc,PING,10,1,3,2,198412.69,0.031
redis,conc,PING,10,1,3,3,190839.70,0.031
redis,conc,PING,10,1,3,4,193798.45,0.031
redis,conc,PING,10,1,3,5,198412.69,0.031
redis,conc,PING,50,1,3,1,196078.44,0.127
redis,conc,PING,50,1,3,2,198412.69,0.127
redis,conc,PING,50,1,3,3,184501.84,0.127
redis,conc,PING,50,1,3,4,184501.84,0.127
redis,conc,PING,50,1,3,5,197628.47,0.127
redis,conc,PING,200,1,3,1,183823.52,0.479
redis,conc,PING,200,1,3,2,186567.16,0.479
redis,conc,PING,200,1,3,3,185185.17,0.479
redis,conc,PING,200,1,3,4,193050.19,0.479
redis,conc,PING,200,1,3,5,184501.84,0.479
redis,conc,PING,1000,1,3,1,180505.41,2.407
redis,conc,PING,1000,1,3,2,166112.95,2.807
redis,conc,PING,1000,1,3,3,174216.03,2.471
redis,conc,PING,1000,1,3,4,187969.92,2.375
redis,conc,PING,1000,1,3,5,192307.70,2.351
redis,pipe,PING,50,1,3,1,186741.36,0.127
redis,pipe,PING,50,1,3,2,183992.64,0.135
redis,pipe,PING,50,1,3,3,185013.88,0.135
redis,pipe,PING,50,1,3,4,185873.61,0.135
redis,pipe,PING,50,1,3,5,183486.23,0.135
redis,pipe,PING,50,8,3,1,1428571.38,0.135
redis,pipe,PING,50,8,3,2,1315789.50,0.151
redis,pipe,PING,50,8,3,3,1307189.62,0.183
redis,pipe,PING,50,8,3,4,1129943.50,0.199
redis,pipe,PING,50,8,3,5,1265822.75,0.191
redis,pipe,PING,50,16,3,1,2380952.50,0.199
redis,pipe,PING,50,16,3,2,2439024.25,0.159
redis,pipe,PING,50,16,3,3,2597402.50,0.151
redis,pipe,PING,50,16,3,4,2531645.50,0.151
redis,pipe,PING,50,16,3,5,2439024.25,0.199
redis,pipe,PING,50,64,3,1,5714285.50,0.471
redis,pipe,PING,50,64,3,2,6060606.00,0.439
redis,pipe,PING,50,64,3,3,6249999.50,0.423
redis,pipe,PING,50,64,3,4,5714285.50,0.463
redis,pipe,PING,50,64,3,5,5882352.50,0.447
redis,size,SET,50,1,8,1,176470.59,0.135
redis,size,SET,50,1,8,2,194805.20,0.127
redis,size,SET,50,1,8,3,182926.83,0.135
redis,size,SET,50,1,8,4,181818.17,0.135
redis,size,SET,50,1,8,5,180722.91,0.135
redis,size,SET,50,1,32,1,182926.83,0.135
redis,size,SET,50,1,32,2,182926.83,0.135
redis,size,SET,50,1,32,3,191082.80,0.127
redis,size,SET,50,1,32,4,180722.91,0.135
redis,size,SET,50,1,32,5,179640.72,0.143
redis,size,SET,50,1,128,1,191082.80,0.127
redis,size,SET,50,1,128,2,180722.91,0.135
redis,size,SET,50,1,128,3,193548.39,0.127
redis,size,SET,50,1,128,4,174418.59,0.135
redis,size,SET,50,1,128,5,182926.83,0.135
redis,size,SET,50,1,512,1,188679.25,0.135
redis,size,SET,50,1,512,2,185185.19,0.135
redis,size,SET,50,1,512,3,189873.41,0.127
redis,size,SET,50,1,512,4,176470.59,0.135
redis,size,SET,50,1,512,5,179640.72,0.143
redis,size,SET,50,1,2048,1,176470.59,0.135
redis,size,SET,50,1,2048,2,159574.47,0.175
redis,size,SET,50,1,2048,3,164835.17,0.143
redis,size,SET,50,1,2048,4,173410.41,0.135
redis,size,SET,50,1,2048,5,140186.92,0.199
redis,size,SET,50,1,8192,1,147058.83,0.199
redis,size,SET,50,1,8192,2,175438.59,0.143
redis,size,SET,50,1,8192,3,163043.48,0.143
redis,size,SET,50,1,8192,4,149253.73,0.199
redis,size,SET,50,1,8192,5,169491.53,0.143
redis,size,SET,50,1,32768,1,115384.62,0.215
redis,size,SET,50,1,32768,2,106007.07,0.223
redis,size,SET,50,1,32768,3,103806.23,0.263
redis,size,SET,50,1,32768,4,104895.10,0.263
redis,size,SET,50,1,32768,5,108303.24,0.247
redis,cmd,PING,50,1,3,1,157232.70,0.175
redis,cmd,PING,50,1,3,2,163934.42,0.175
redis,cmd,PING,50,1,3,3,172413.80,0.135
redis,cmd,PING,50,1,3,4,174216.03,0.135
redis,cmd,PING,50,1,3,5,157232.70,0.183
redis,cmd,SET,50,1,32,1,136612.02,0.199
redis,cmd,SET,50,1,32,2,146198.83,0.191
redis,cmd,SET,50,1,32,3,155279.50,0.183
redis,cmd,SET,50,1,32,4,180505.41,0.135
redis,cmd,SET,50,1,32,5,177935.95,0.135
redis,cmd,GET,50,1,32,1,179211.45,0.135
redis,cmd,GET,50,1,32,2,144508.67,0.191
redis,cmd,GET,50,1,32,3,140449.44,0.199
redis,cmd,GET,50,1,32,4,153374.23,0.191
redis,cmd,GET,50,1,32,5,165562.92,0.167
redis,cmd,INCR,50,1,3,1,178571.42,0.135
redis,cmd,INCR,50,1,3,2,172413.80,0.143
redis,cmd,INCR,50,1,3,3,195312.48,0.127
redis,cmd,INCR,50,1,3,4,187265.92,0.127
redis,cmd,INCR,50,1,3,5,181159.42,0.135
redis,cmd,SADD,50,1,3,1,187969.92,0.127
redis,cmd,SADD,50,1,3,2,198412.69,0.127
redis,cmd,SADD,50,1,3,3,178571.42,0.143
redis,cmd,SADD,50,1,3,4,190114.06,0.127
redis,cmd,SADD,50,1,3,5,200803.22,0.127
redis,cmd,ZADD,50,1,3,1,178571.42,0.135
redis,cmd,ZADD,50,1,3,2,175438.59,0.135
redis,cmd,ZADD,50,1,3,3,184501.84,0.127
redis,cmd,ZADD,50,1,3,4,193798.45,0.127
redis,cmd,ZADD,50,1,3,5,195312.48,0.127
redis,cmd,GEOADD,50,1,3,1,173611.12,0.143
redis,cmd,GEOADD,50,1,3,2,181818.17,0.127
redis,cmd,GEOADD,50,1,3,3,187265.92,0.127
redis,cmd,GEOADD,50,1,3,4,179211.45,0.135
redis,cmd,GEOADD,50,1,3,5,182481.77,0.127
kqueue,conc,PING,1,1,3,1,55126.79,0.015
kqueue,conc,PING,1,1,3,2,56561.09,0.015
kqueue,conc,PING,1,1,3,3,56625.14,0.015
kqueue,conc,PING,1,1,3,4,57077.62,0.015
kqueue,conc,PING,1,1,3,5,56753.69,0.015
kqueue,conc,PING,10,1,3,1,179211.45,0.031
kqueue,conc,PING,10,1,3,2,187969.92,0.031
kqueue,conc,PING,10,1,3,3,179856.11,0.031
kqueue,conc,PING,10,1,3,4,193050.19,0.031
kqueue,conc,PING,10,1,3,5,182481.77,0.031
kqueue,conc,PING,50,1,3,1,182481.77,0.135
kqueue,conc,PING,50,1,3,2,193798.45,0.127
kqueue,conc,PING,50,1,3,3,187265.92,0.127
kqueue,conc,PING,50,1,3,4,192307.70,0.127
kqueue,conc,PING,50,1,3,5,193798.45,0.127
kqueue,conc,PING,200,1,3,1,192307.70,0.487
kqueue,conc,PING,200,1,3,2,177935.95,0.487
kqueue,conc,PING,200,1,3,3,182481.77,0.495
kqueue,conc,PING,200,1,3,4,188679.25,0.479
kqueue,conc,PING,200,1,3,5,185185.17,0.487
kqueue,conc,PING,1000,1,3,1,170068.03,2.471
kqueue,conc,PING,1000,1,3,2,177935.95,2.383
kqueue,conc,PING,1000,1,3,3,181159.42,2.399
kqueue,conc,PING,1000,1,3,4,193050.19,2.287
kqueue,conc,PING,1000,1,3,5,170068.03,2.615
kqueue,pipe,PING,50,1,3,1,181159.42,0.135
kqueue,pipe,PING,50,1,3,2,188146.77,0.127
kqueue,pipe,PING,50,1,3,3,179533.22,0.135
kqueue,pipe,PING,50,1,3,4,182481.77,0.135
kqueue,pipe,PING,50,1,3,5,184162.06,0.135
kqueue,pipe,PING,50,8,3,1,1052631.62,0.279
kqueue,pipe,PING,50,8,3,2,1020408.19,0.271
kqueue,pipe,PING,50,8,3,3,930232.56,0.279
kqueue,pipe,PING,50,8,3,4,952381.00,0.271
kqueue,pipe,PING,50,8,3,5,1041666.69,0.271
kqueue,pipe,PING,50,16,3,1,1324503.38,0.559
kqueue,pipe,PING,50,16,3,2,1123595.50,0.607
kqueue,pipe,PING,50,16,3,3,1219512.12,0.599
kqueue,pipe,PING,50,16,3,4,1226993.88,0.591
kqueue,pipe,PING,50,16,3,5,1234567.88,0.591
kqueue,pipe,PING,50,64,3,1,1418439.75,2.159
kqueue,pipe,PING,50,64,3,2,1418439.75,2.151
kqueue,pipe,PING,50,64,3,3,1449275.38,2.119
kqueue,pipe,PING,50,64,3,4,1438848.88,2.135
kqueue,pipe,PING,50,64,3,5,1428571.38,2.143
kqueue,size,SET,50,1,8,1,162162.16,0.175
kqueue,size,SET,50,1,8,2,184049.08,0.135
kqueue,size,SET,50,1,8,3,175438.59,0.135
kqueue,size,SET,50,1,8,4,197368.42,0.127
kqueue,size,SET,50,1,8,5,158730.16,0.183
kqueue,size,SET,50,1,32,1,152284.27,0.191
kqueue,size,SET,50,1,32,2,176470.59,0.135
kqueue,size,SET,50,1,32,3,156250.00,0.183
kqueue,size,SET,50,1,32,4,161290.31,0.183
kqueue,size,SET,50,1,32,5,153846.16,0.183
kqueue,size,SET,50,1,128,1,143540.67,0.191
kqueue,size,SET,50,1,128,2,148514.84,0.191
kqueue,size,SET,50,1,128,3,177514.80,0.135
kqueue,size,SET,50,1,128,4,181818.17,0.135
kqueue,size,SET,50,1,128,5,165745.86,0.175
kqueue,size,SET,50,1,512,1,149253.73,0.191
kqueue,size,SET,50,1,512,2,174418.59,0.135
kqueue,size,SET,50,1,512,3,177514.80,0.135
kqueue,size,SET,50,1,512,4,167597.77,0.175
kqueue,size,SET,50,1,512,5,178571.44,0.135
kqueue,size,SET,50,1,2048,1,151515.16,0.191
kqueue,size,SET,50,1,2048,2,167597.77,0.167
kqueue,size,SET,50,1,2048,3,168539.33,0.151
kqueue,size,SET,50,1,2048,4,157068.06,0.191
kqueue,size,SET,50,1,2048,5,169491.53,0.159
kqueue,size,SET,50,1,8192,1,103448.28,0.455
kqueue,size,SET,50,1,8192,2,105263.16,0.447
kqueue,size,SET,50,1,8192,3,105263.16,0.447
kqueue,size,SET,50,1,8192,4,105263.16,0.447
kqueue,size,SET,50,1,8192,5,103806.23,0.455
kqueue,size,SET,50,1,32768,1,23828.44,2.071
kqueue,size,SET,50,1,32768,2,22189.35,2.223
kqueue,size,SET,50,1,32768,3,23237.80,2.119
kqueue,size,SET,50,1,32768,4,24135.16,2.039
kqueue,size,SET,50,1,32768,5,23255.81,2.127
kqueue,cmd,PING,50,1,3,1,162866.44,0.167
kqueue,cmd,PING,50,1,3,2,181159.42,0.135
kqueue,cmd,PING,50,1,3,3,176678.45,0.135
kqueue,cmd,PING,50,1,3,4,188679.25,0.127
kqueue,cmd,PING,50,1,3,5,194552.53,0.127
kqueue,cmd,SET,50,1,32,1,195312.48,0.127
kqueue,cmd,SET,50,1,32,2,187265.92,0.127
kqueue,cmd,SET,50,1,32,3,192307.70,0.127
kqueue,cmd,SET,50,1,32,4,190114.06,0.127
kqueue,cmd,SET,50,1,32,5,189393.94,0.127
kqueue,cmd,GET,50,1,32,1,179856.11,0.135
kqueue,cmd,GET,50,1,32,2,189393.94,0.127
kqueue,cmd,GET,50,1,32,3,206611.58,0.127
kqueue,cmd,GET,50,1,32,4,190114.06,0.127
kqueue,cmd,GET,50,1,32,5,193798.45,0.127
kqueue,cmd,INCR,50,1,3,1,173010.38,0.135
kqueue,cmd,INCR,50,1,3,2,193798.45,0.127
kqueue,cmd,INCR,50,1,3,3,185185.17,0.127
kqueue,cmd,INCR,50,1,3,4,199203.20,0.127
kqueue,cmd,INCR,50,1,3,5,194552.53,0.127
kqueue,cmd,SADD,50,1,3,1,196850.39,0.127
kqueue,cmd,SADD,50,1,3,2,183823.52,0.127
kqueue,cmd,SADD,50,1,3,3,196078.44,0.127
kqueue,cmd,SADD,50,1,3,4,184501.84,0.127
kqueue,cmd,SADD,50,1,3,5,177304.97,0.135
kqueue,cmd,ZADD,50,1,3,1,185185.17,0.127
kqueue,cmd,ZADD,50,1,3,2,190114.06,0.127
kqueue,cmd,ZADD,50,1,3,3,179856.11,0.135
kqueue,cmd,ZADD,50,1,3,4,151975.69,0.191
kqueue,cmd,ZADD,50,1,3,5,155279.50,0.191
kqueue,cmd,GEOADD,50,1,3,1,156250.00,0.191
kqueue,cmd,GEOADD,50,1,3,2,160771.70,0.191
kqueue,cmd,GEOADD,50,1,3,3,167224.08,0.183
kqueue,cmd,GEOADD,50,1,3,4,147492.62,0.191
kqueue,cmd,GEOADD,50,1,3,5,176056.33,0.135
kqueue-wbuf,conc,PING,1,1,3,1,51867.22,0.015
kqueue-wbuf,conc,PING,1,1,3,2,53705.69,0.015
